,hospital,AZ,pfizer,moderna,hospital_distance,address,time,date
0,늘푸른소아과의원,10,0,0,2.6km,경기 군포시 군포로 494,10:02:26,2021-08-09
1,참이비인후과의원,8,0,0,1.5km,경기 군포시,10:02:26,2021-08-09
2,더샵조은의원,8,0,0,3.3km,경기 안양시 동안구,10:02:26,2021-08-09
3,하늘소아청소년과의원,6,0,0,3.4km,경기 군포시 삼성로 6 웅신프라자,10:02:26,2021-08-09
4,해맑은소아청소년과의원,4,0,0,3.3km,경기 안양시 만안구,10:02:26,2021-08-09
5,하늘소아청소년과의원,5,0,0,3.4km,경기 군포시 삼성로 6 웅신프라자,10:02:29,2021-08-09
6,코앤이비인후과의원,9,3,0,2.4km,경기 안양시 만안구,10:03:09,2021-08-09
7,코앤이비인후과의원,9,0,0,2.4km,경기 안양시 만안구,10:03:16,2021-08-09
8,코앤이비인후과의원,8,0,0,2.4km,경기 안양시 만안구,10:03:49,2021-08-09
9,드림연합소아청소년과의원,0,2,0,1.2km,경기 군포시,10:03:51,2021-08-09
10,새론정형외과의원,10,0,0,2.7km,경기 군포시,10:11:17,2021-08-09
11,엘키즈의원,0,2,0,880m,경기 군포시,10:17:57,2021-08-09
12,참이비인후과의원,7,0,0,1.5km,경기 군포시,10:21:25,2021-08-09
13,김영환소아과의원,0,6,0,1.3km,경기 군포시,10:29:58,2021-08-09
14,사랑이가득한소아과의원,0,2,0,1.5km,경기 군포시,10:37:08,2021-08-09
15,연세코웰이비인후과의원,9,0,0,1.0km,경기 군포시,10:44:26,2021-08-09
16,참이비인후과의원,6,0,0,1.5km,경기 군포시,10:44:26,2021-08-09
17,연세코웰이비인후과의원,8,0,0,1.0km,경기 군포시,10:49:34,2021-08-09
18,더샵조은의원,7,0,0,3.3km,경기 안양시 동안구,10:49:34,2021-08-09
19,고려연합의원,2,0,0,3.4km,경기 안양시 만안구 장내로 83 2층,11:05:48,2021-08-09
20,김성근내과의원,1,0,0,860m,경기 군포시 광정로 80,11:05:48,2021-08-09
21,오내과의원,2,0,0,1.3km,경기 군포시 번영로 502 역사상가,11:14:13,2021-08-09
22,고려연합의원,1,0,0,3.4km,경기 안양시 만안구 장내로 83 2층,11:14:13,2021-08-09
